Full Name,County,State,Population (as of July 2019)
"Pettis County, Missouri",Pettis County,Missouri,42339
"Phelps County, Missouri",Phelps County,Missouri,44573
"Pike County, Missouri",Pike County,Missouri,18302
"Platte County, Missouri",Platte County,Missouri,104418
"Polk County, Missouri",Polk County,Missouri,32149
"Pulaski County, Missouri",Pulaski County,Missouri,52607
"Putnam County, Missouri",Putnam County,Missouri,4696
"Ralls County, Missouri",Ralls County,Missouri,10309
"Randolph County, Missouri",Randolph County,Missouri,24748
"Ray County, Missouri",Ray County,Missouri,23018
"Reynolds County, Missouri",Reynolds County,Missouri,6270
"Ripley County, Missouri",Ripley County,Missouri,13288
"St Charles County, Missouri",St Charles County,Missouri,402022
"St Clair County, Missouri",St Clair County,Missouri,9397
"Ste Genevieve County, Missouri",Ste Genevieve County,Missouri,17894
"St Francois County, Missouri",St Francois County,Missouri,67215
"St Louis County, Missouri",St Louis County,Missouri,994205
"Saline County, Missouri",Saline County,Missouri,22761
"Schuyler County, Missouri",Schuyler County,Missouri,4660
"Scotland County, Missouri",Scotland County,Missouri,4902
"Scott County, Missouri",Scott County,Missouri,38280
"Shannon County, Missouri",Shannon County,Missouri,8166
"Shelby County, Missouri",Shelby County,Missouri,5930
"Stoddard County, Missouri",Stoddard County,Missouri,29025
"Stone County, Missouri",Stone County,Missouri,31952
"Sullivan County, Missouri",Sullivan County,Missouri,6089
"Taney County, Missouri",Taney County,Missouri,55928
"Texas County, Missouri",Texas County,Missouri,25398
"Vernon County, Missouri",Vernon County,Missouri,20563
"Warren County, Missouri",Warren County,Missouri,35649
"Washington County, Missouri",Washington County,Missouri,24730
"Wayne County, Missouri",Wayne County,Missouri,12873
"Webster County, Missouri",Webster County,Missouri,39592
"Worth County, Missouri",Worth County,Missouri,2013
"Wright County, Missouri",Wright County,Missouri,18289
"St Louis city, Missouri",St Louis city,Missouri,300576
"Beaverhead County, Montana",Beaverhead County,Montana,9453
"Big Horn County, Montana",Big Horn County,Montana,13319
"Blaine County, Montana",Blaine County,Montana,6681
"Broadwater County, Montana",Broadwater County,Montana,6237
"Carbon County, Montana",Carbon County,Montana,10725
"Carter County, Montana",Carter County,Montana,1252
"Cascade County, Montana",Cascade County,Montana,81366
"Chouteau County, Montana",Chouteau County,Montana,5635
"Custer County, Montana",Custer County,Montana,11402
"Daniels County, Montana",Daniels County,Montana,1690
"Dawson County, Montana",Dawson County,Montana,8613
"Deer Lodge County, Montana",Deer Lodge County,Montana,9140
"Fallon County, Montana",Fallon County,Montana,2846
"Fergus County, Montana",Fergus County,Montana,11050
"Flathead County, Montana",Flathead County,Montana,103806
"Gallatin County, Montana",Gallatin County,Montana,114434
"Garfield County, Montana",Garfield County,Montana,1258
"Glacier County, Montana",Glacier County,Montana,13753
"Golden Valley County, Montana",Golden Valley County,Montana,821
"Granite County, Montana",Granite County,Montana,3379
"Hill County, Montana",Hill County,Montana,16484
"Jefferson County, Montana",Jefferson County,Montana,12221
"Judith Basin County, Montana",Judith Basin County,Montana,2007
"Lake County, Montana",Lake County,Montana,30458
"Lewis and Clark County, Montana",Lewis and Clark County,Montana,69432
"Liberty County, Montana",Liberty County,Montana,2337
"Lincoln County, Montana",Lincoln County,Montana,19980
"McCone County, Montana",McCone County,Montana,1664
"Madison County, Montana",Madison County,Montana,8600
"Meagher County, Montana",Meagher County,Montana,1862
"Mineral County, Montana",Mineral County,Montana,4397
"Missoula County, Montana",Missoula County,Montana,119600
"Musselshell County, Montana",Musselshell County,Montana,4633
"Park County, Montana",Park County,Montana,16606
"Petroleum County, Montana",Petroleum County,Montana,487
"Phillips County, Montana",Phillips County,Montana,3954
"Pondera County, Montana",Pondera County,Montana,5911
"Powder River County, Montana",Powder River County,Montana,1682
"Powell County, Montana",Powell County,Montana,6890
"Prairie County, Montana",Prairie County,Montana,1077
"Ravalli County, Montana",Ravalli County,Montana,43806
"Richland County, Montana",Richland County,Montana,10803
"Roosevelt County, Montana",Roosevelt County,Montana,11004
"Rosebud County, Montana",Rosebud County,Montana,8937
"Sanders County, Montana",Sanders County,Montana,12113
"Sheridan County, Montana",Sheridan County,Montana,3309
"Silver Bow County, Montana",Silver Bow County,Montana,34915
"Stillwater County, Montana",Stillwater County,Montana,9642
"Sweet Grass County, Montana",Sweet Grass County,Montana,3737
"Teton County, Montana",Teton County,Montana,6147
"Toole County, Montana",Toole County,Montana,4736
"Treasure County, Montana",Treasure County,Montana,696
"Valley County, Montana",Valley County,Montana,7396
"Wheatland County, Montana",Wheatland County,Montana,2126
"Wibaux County, Montana",Wibaux County,Montana,969
"Yellowstone County, Montana",Yellowstone County,Montana,161300
"Adams County, Nebraska",Adams County,Nebraska,31363
"Antelope County, Nebraska",Antelope County,Nebraska,6298
"Arthur County, Nebraska",Arthur County,Nebraska,463
"Banner County, Nebraska",Banner County,Nebraska,745
"Blaine County, Nebraska",Blaine County,Nebraska,465
"Boone County, Nebraska",Boone County,Nebraska,5192
"Box Butte County, Nebraska",Box Butte County,Nebraska,10783
"Boyd County, Nebraska",Boyd County,Nebraska,1919
"Brown County, Nebraska",Brown County,Nebraska,2955
"Buffalo County, Nebraska",Buffalo County,Nebraska,49659
"Burt County, Nebraska",Burt County,Nebraska,6459
"Butler County, Nebraska",Butler County,Nebraska,8016
"Cass County, Nebraska",Cass County,Nebraska,26248
"Cedar County, Nebraska",Cedar County,Nebraska,8402
"Chase County, Nebraska",Chase County,Nebraska,3924
"Cherry County, Nebraska",Cherry County,Nebraska,5689
"Cheyenne County, Nebraska",Cheyenne County,Nebraska,8910
"Clay County, Nebraska",Clay County,Nebraska,6203
"Colfax County, Nebraska",Colfax County,Nebraska,10709
"Cuming County, Nebraska",Cuming County,Nebraska,8846
"Custer County, Nebraska",Custer County,Nebraska,10777
"Dakota County, Nebraska",Dakota County,Nebraska,20026
"Dawes County, Nebraska",Dawes County,Nebraska,8589
"Dawson County, Nebraska",Dawson County,Nebraska,23595
"Deuel County, Nebraska",Deuel County,Nebraska,1794
"Dixon County, Nebraska",Dixon County,Nebraska,5636
"Dodge County, Nebraska",Dodge County,Nebraska,36565
"Douglas County, Nebraska",Douglas County,Nebraska,571327
"Dundy County, Nebraska",Dundy County,Nebraska,1693
"Fillmore County, Nebraska",Fillmore County,Nebraska,5462
"Franklin County, Nebraska",Franklin County,Nebraska,2979
"Frontier County, Nebraska",Frontier County,Nebraska,2627
"Furnas County, Nebraska",Furnas County,Nebraska,4676
"Gage County, Nebraska",Gage County,Nebraska,21513
"Garden County, Nebraska",Garden County,Nebraska,1837
"Garfield County, Nebraska",Garfield County,Nebraska,1969
"Gosper County, Nebraska",Gosper County,Nebraska,1990
"Grant County, Nebraska",Grant County,Nebraska,623
"Greeley County, Nebraska",Greeley County,Nebraska,2356
"Hall County, Nebraska",Hall County,Nebraska,61353
"Hamilton County, Nebraska",Hamilton County,Nebraska,9324
"Harlan County, Nebraska",Harlan County,Nebraska,3380
"Hayes County, Nebraska",Hayes County,Nebraska,922
"Hitchcock County, Nebraska",Hitchcock County,Nebraska,2762
"Holt County, Nebraska",Holt County,Nebraska,10067
"Hooker County, Nebraska",Hooker County,Nebraska,682
"Howard County, Nebraska",Howard County,Nebraska,6445
"Jefferson County, Nebraska",Jefferson County,Nebraska,7046
"Johnson County, Nebraska",Johnson County,Nebraska,5071
"Kearney County, Nebraska",Kearney County,Nebraska,6495
"Keith County, Nebraska",Keith County,Nebraska,8034
"Keya Paha County, Nebraska",Keya Paha County,Nebraska,806
"Kimball County, Nebraska",Kimball County,Nebraska,3632
"Knox County, Nebraska",Knox County,Nebraska,8332
"Lancaster County, Nebraska",Lancaster County,Nebraska,319090
"Lincoln County, Nebraska",Lincoln County,Nebraska,34914
"Logan County, Nebraska",Logan County,Nebraska,748
"Loup County, Nebraska",Loup County,Nebraska,664
"McPherson County, Nebraska",McPherson County,Nebraska,494
"Madison County, Nebraska",Madison County,Nebraska,35099
"Merrick County, Nebraska",Merrick County,Nebraska,7755
"Morrill County, Nebraska",Morrill County,Nebraska,4642
"Nance County, Nebraska",Nance County,Nebraska,3519
"Nemaha County, Nebraska",Nemaha County,Nebraska,6972
"Nuckolls County, Nebraska",Nuckolls County,Nebraska,4148
"Otoe County, Nebraska",Otoe County,Nebraska,16012
"Pawnee County, Nebraska",Pawnee County,Nebraska,2613
"Perkins County, Nebraska",Perkins County,Nebraska,2891
"Phelps County, Nebraska",Phelps County,Nebraska,9034
"Pierce County, Nebraska",Pierce County,Nebraska,7148
"Platte County, Nebraska",Platte County,Nebraska,33470
"Polk County, Nebraska",Polk County,Nebraska,5213
"Red Willow County, Nebraska",Red Willow County,Nebraska,10724
"Richardson County, Nebraska",Richardson County,Nebraska,7865
"Rock County, Nebraska",Rock County,Nebraska,1357
"Saline County, Nebraska",Saline County,Nebraska,14224
"Sarpy County, Nebraska",Sarpy County,Nebraska,187196
"Saunders County, Nebraska",Saunders County,Nebraska,21578
"Scotts Bluff County, Nebraska",Scotts Bluff County,Nebraska,35618
"Seward County, Nebraska",Seward County,Nebraska,17284
"Sheridan County, Nebraska",Sheridan County,Nebraska,5246
"Sherman County, Nebraska",Sherman County,Nebraska,3001
"Sioux County, Nebraska",Sioux County,Nebraska,1166
"Stanton County, Nebraska",Stanton County,Nebraska,5920
"Thayer County, Nebraska",Thayer County,Nebraska,5003
"Thomas County, Nebraska",Thomas County,Nebraska,722
"Thurston County, Nebraska",Thurston County,Nebraska,7224
"Valley County, Nebraska",Valley County,Nebraska,4158
"Washington County, Nebraska",Washington County,Nebraska,20729
"Wayne County, Nebraska",Wayne County,Nebraska,9385
"Webster County, Nebraska",Webster County,Nebraska,3487
"Wheeler County, Nebraska",Wheeler County,Nebraska,783
"York County, Nebraska",York County,Nebraska,13679
"Churchill County, Nevada",Churchill County,Nevada,24909
"Clark County, Nevada",Clark County,Nevada,2266715
"Douglas County, Nevada",Douglas County,Nevada,48905
"Elko County, Nevada",Elko County,Nevada,52778
"Esmeralda County, Nevada",Esmeralda County,Nevada,873
"Eureka County, Nevada",Eureka County,Nevada,2029
"Humboldt County, Nevada",Humboldt County,Nevada,16831
"Lander County, Nevada",Lander County,Nevada,5532
"Lincoln County, Nevada",Lincoln County,Nevada,5183
"Lyon County, Nevada",Lyon County,Nevada,57510
"Mineral County, Nevada",Mineral County,Nevada,4505
"Nye County, Nevada",Nye County,Nevada,46523
"Pershing County, Nevada",Pershing County,Nevada,6725
"Storey County, Nevada",Storey County,Nevada,4123
"Washoe County, Nevada",Washoe County,Nevada,471519
"White Pine County, Nevada",White Pine County,Nevada,9580
"Carson City, Nevada",Carson City,Nevada,55916
"Belknap County, New Hampshire",Belknap County,New Hampshire,61303
"Carroll County, New Hampshire",Carroll County,New Hampshire,48910
"Cheshire County, New Hampshire",Cheshire County,New Hampshire,76085
"Coos County, New Hampshire",Coos County,New Hampshire,31563
"Grafton County, New Hampshire",Grafton County,New Hampshire,89886
"Hillsborough County, New Hampshire",Hillsborough County,New Hampshire,417025
"Merrimack County, New Hampshire",Merrimack County,New Hampshire,151391
"Rockingham County, New Hampshire",Rockingham County,New Hampshire,309769
"Strafford County, New Hampshire",Strafford County,New Hampshire,130633
"Sullivan County, New Hampshire",Sullivan County,New Hampshire,43146
"Atlantic County, New Jersey",Atlantic County,New Jersey,263670
"Bergen County, New Jersey",Bergen County,New Jersey,932202
"Burlington County, New Jersey",Burlington County,New Jersey,445349
"Camden County, New Jersey",Camden County,New Jersey,506471
"Cape May County, New Jersey",Cape May County,New Jersey,92039
"Cumberland County, New Jersey",Cumberland County,New Jersey,149527
"Essex County, New Jersey",Essex County,New Jersey,798975
"Gloucester County, New Jersey",Gloucester County,New Jersey,291636
"Hudson County, New Jersey",Hudson County,New Jersey,672391
"Hunterdon County, New Jersey",Hunterdon County,New Jersey,124371
"Mercer County, New Jersey",Mercer County,New Jersey,367430
"Middlesex County, New Jersey",Middlesex County,New Jersey,825062
"Monmouth County, New Jersey",Monmouth County,New Jersey,618795
"Morris County, New Jersey",Morris County,New Jersey,491845
"Ocean County, New Jersey",Ocean County,New Jersey,607186
"Passaic County, New Jersey",Passaic County,New Jersey,501826
"Salem County, New Jersey",Salem County,New Jersey,62385
"Somerset County, New Jersey",Somerset County,New Jersey,328934
"Sussex County, New Jersey",Sussex County,New Jersey,140488
"Union County, New Jersey",Union County,New Jersey,556341
"Warren County, New Jersey",Warren County,New Jersey,105267
"Bernalillo County, New Mexico",Bernalillo County,New Mexico,679121
"Catron County, New Mexico",Catron County,New Mexico,3527
"Chaves County, New Mexico",Chaves County,New Mexico,64615
"Cibola County, New Mexico",Cibola County,New Mexico,26675
"Colfax County, New Mexico",Colfax County,New Mexico,11941
"Curry County, New Mexico",Curry County,New Mexico,48954
"De Baca County, New Mexico",De Baca County,New Mexico,1748
"Doña Ana County, New Mexico",Doña Ana County,New Mexico,218195
"Eddy County, New Mexico",Eddy County,New Mexico,58460
"Grant County, New Mexico",Grant County,New Mexico,26998
"Guadalupe County, New Mexico",Guadalupe County,New Mexico,4300
"Harding County, New Mexico",Harding County,New Mexico,625
"Hidalgo County, New Mexico",Hidalgo County,New Mexico,4198
"Lea County, New Mexico",Lea County,New Mexico,71070
"Lincoln County, New Mexico",Lincoln County,New Mexico,19572
"Los Alamos County, New Mexico",Los Alamos County,New Mexico,19369
"Luna County, New Mexico",Luna County,New Mexico,23709
"McKinley County, New Mexico",McKinley County,New Mexico,71367
"Mora County, New Mexico",Mora County,New Mexico,4521
"Otero County, New Mexico",Otero County,New Mexico,67490
"Quay County, New Mexico",Quay County,New Mexico,8253
"Rio Arriba County, New Mexico",Rio Arriba County,New Mexico,38921
"Roosevelt County, New Mexico",Roosevelt County,New Mexico,18500
"Sandoval County, New Mexico",Sandoval County,New Mexico,146748
"San Juan County, New Mexico",San Juan County,New Mexico,123958
"San Miguel County, New Mexico",San Miguel County,New Mexico,27277
"Santa Fe County, New Mexico",Santa Fe County,New Mexico,150358
"Sierra County, New Mexico",Sierra County,New Mexico,10791
"Socorro County, New Mexico",Socorro County,New Mexico,16637
"Taos County, New Mexico",Taos County,New Mexico,32723
"Torrance County, New Mexico",Torrance County,New Mexico,15461
"Union County, New Mexico",Union County,New Mexico,4059
"Valencia County, New Mexico",Valencia County,New Mexico,76688
"Albany County, New York",Albany County,New York,305506
"Allegany County, New York",Allegany County,New York,46091
"Bronx County, New York",Bronx County,New York,1418207
"Broome County, New York",Broome County,New York,190488
"Cattaraugus County, New York",Cattaraugus County,New York,76117
"Cayuga County, New York",Cayuga County,New York,76576
"Chautauqua County, New York",Chautauqua County,New York,126903
"Chemung County, New York",Chemung County,New York,83456
"Chenango County, New York",Chenango County,New York,47207
"Clinton County, New York",Clinton County,New York,80485
"Columbia County, New York",Columbia County,New York,59461
"Cortland County, New York",Cortland County,New York,47581
"Delaware County, New York",Delaware County,New York,44135
"Dutchess County, New York",Dutchess County,New York,294218
"Erie County, New York",Erie County,New York,918702
"Essex County, New York",Essex County,New York,36885
"Franklin County, New York",Franklin County,New York,50022
"Fulton County, New York",Fulton County,New York,53383
"Genesee County, New York",Genesee County,New York,57280
"Greene County, New York",Greene County,New York,47188
"Hamilton County, New York",Hamilton County,New York,4416
"Herkimer County, New York",Herkimer County,New York,61319
"Jefferson County, New York",Jefferson County,New York,109834
"Kings County, New York",Kings County,New York,2559903
"Lewis County, New York",Lewis County,New York,26296
"Livingston County, New York",Livingston County,New York,62914
"Madison County, New York",Madison County,New York,70941
"Monroe County, New York",Monroe County,New York,741770
"Montgomery County, New York",Montgomery County,New York,49221
"Nassau County, New York",Nassau County,New York,1356924
"New York County, New York",New York County,New York,1628706
"Niagara County, New York",Niagara County,New York,209281
"Oneida County, New York",Oneida County,New York,228671
"Onondaga County, New York",Onondaga County,New York,460528
"Ontario County, New York",Ontario County,New York,109777
"Orange County, New York",Orange County,New York,384940
"Orleans County, New York",Orleans County,New York,40352
"Oswego County, New York",Oswego County,New York,117124
"Otsego County, New York",Otsego County,New York,59493
"Putnam County, New York",Putnam County,New York,98320
"Queens County, New York",Queens County,New York,2253858
"Rensselaer County, New York",Rensselaer County,New York,158714
"Richmond County, New York",Richmond County,New York,476143
"Rockland County, New York",Rockland County,New York,325789
"St Lawrence County, New York",St Lawrence County,New York,107740
"Saratoga County, New York",Saratoga County,New York,229863
"Schenectady County, New York",Schenectady County,New York,155299
"Schoharie County, New York",Schoharie County,New York,30999
"Schuyler County, New York",Schuyler County,New York,17807
"Seneca County, New York",Seneca County,New York,34016
"Steuben County, New York",Steuben County,New York,95379
"Suffolk County, New York",Suffolk County,New York,1476601
"Sullivan County, New York",Sullivan County,New York,75432
"Tioga County, New York",Tioga County,New York,48203
"Tompkins County, New York",Tompkins County,New York,102180
"Ulster County, New York",Ulster County,New York,177573
"Warren County, New York",Warren County,New York,63944
"Washington County, New York",Washington County,New York,61204
"Wayne County, New York",Wayne County,New York,89918
"Westchester County, New York",Westchester County,New York,967506
"Wyoming County, New York",Wyoming County,New York,39859
"Yates County, New York",Yates County,New York,24913
"Alamance County, North Carolina",Alamance County,North Carolina,169509
"Alexander County, North Carolina",Alexander County,North Carolina,37497
"Alleghany County, North Carolina",Alleghany County,North Carolina,11137
"Anson County, North Carolina",Anson County,North Carolina,24446
"Ashe County, North Carolina",Ashe County,North Carolina,27203
"Avery County, North Carolina",Avery County,North Carolina,17557
"Beaufort County, North Carolina",Beaufort County,North Carolina,46994
"Bertie County, North Carolina",Bertie County,North Carolina,18947
"Bladen County, North Carolina",Bladen County,North Carolina,32722
"Brunswick County, North Carolina",Brunswick County,North Carolina,142820
"Buncombe County, North Carolina",Buncombe County,North Carolina,261191
"Burke County, North Carolina",Burke County,North Carolina,90485
"Cabarrus County, North Carolina",Cabarrus County,North Carolina,216453
"Caldwell County, North Carolina",Caldwell County,North Carolina,82178
"Camden County, North Carolina",Camden County,North Carolina,10867
"Carteret County, North Carolina",Carteret County,North Carolina,69473
"Caswell County, North Carolina",Caswell County,North Carolina,22604
"Catawba County, North Carolina",Catawba County,North Carolina,159551
"Chatham County, North Carolina",Chatham County,North Carolina,74470
"Cherokee County, North Carolina",Cherokee County,North Carolina,28612
"Chowan County, North Carolina",Chowan County,North Carolina,13943
"Clay County, North Carolina",Clay County,North Carolina,11231
"Cleveland County, North Carolina",Cleveland County,North Carolina,97947
"Columbus County, North Carolina",Columbus County,North Carolina,55508
"Craven County, North Carolina",Craven County,North Carolina,102139
"Cumberland County, North Carolina",Cumberland County,North Carolina,335509
"Currituck County, North Carolina",Currituck County,North Carolina,27763
"Dare County, North Carolina",Dare County,North Carolina,37009
"Davidson County, North Carolina",Davidson County,North Carolina,167609
"Davie County, North Carolina",Davie County,North Carolina,42846
"Duplin County, North Carolina",Duplin County,North Carolina,58741
"Durham County, North Carolina",Durham County,North Carolina,321488
"Edgecombe County, North Carolina",Edgecombe County,North Carolina,51472
"Forsyth County, North Carolina",Forsyth County,North Carolina,382295
"Franklin County, North Carolina",Franklin County,North Carolina,69685
"Gaston County, North Carolina",Gaston County,North Carolina,224529
"Gates County, North Carolina",Gates County,North Carolina,11562
"Graham County, North Carolina",Graham County,North Carolina,8441
"Granville County, North Carolina",Granville County,North Carolina,60443
"Greene County, North Carolina",Greene County,North Carolina,21069
"Guilford County, North Carolina",Guilford County,North Carolina,537174
"Halifax County, North Carolina",Halifax County,North Carolina,50010
"Harnett County, North Carolina",Harnett County,North Carolina,135976
"Haywood County, North Carolina",Haywood County,North Carolina,62317
"Henderson County, North Carolina",Henderson County,North Carolina,117417
"Hertford County, North Carolina",Hertford County,North Carolina,23677
"Hoke County, North Carolina",Hoke County,North Carolina,55234
"Hyde County, North Carolina",Hyde County,North Carolina,4937
"Iredell County, North Carolina",Iredell County,North Carolina,181806
"Jackson County, North Carolina",Jackson County,North Carolina,43938
"Johnston County, North Carolina",Johnston County,North Carolina,209339
"Jones County, North Carolina",Jones County,North Carolina,9419
"Lee County, North Carolina",Lee County,North Carolina,61779
"Lenoir County, North Carolina",Lenoir County,North Carolina,55949
"Lincoln County, North Carolina",Lincoln County,North Carolina,86111
"McDowell County, North Carolina",McDowell County,North Carolina,45756
"Macon County, North Carolina",Macon County,North Carolina,35858
"Madison County, North Carolina",Madison County,North Carolina,21755
"Martin County, North Carolina",Martin County,North Carolina,22440
"Mecklenburg County, North Carolina",Mecklenburg County,North Carolina,1110356
"Mitchell County, North Carolina",Mitchell County,North Carolina,14964
"Montgomery County, North Carolina",Montgomery County,North Carolina,27173
"Moore County, North Carolina",Moore County,North Carolina,100880
"Nash County, North Carolina",Nash County,North Carolina,94298
"New Hanover County, North Carolina",New Hanover County,North Carolina,234473
"Northampton County, North Carolina",Northampton County,North Carolina,19483
"Onslow County, North Carolina",Onslow County,North Carolina,197938
"Orange County, North Carolina",Orange County,North Carolina,148476
"Pamlico County, North Carolina",Pamlico County,North Carolina,12726
"Pasquotank County, North Carolina",Pasquotank County,North Carolina,39824
"Pender County, North Carolina",Pender County,North Carolina,63060
"Perquimans County, North Carolina",Perquimans County,North Carolina,13463
"Person County, North Carolina",Person County,North Carolina,39490
"Pitt County, North Carolina",Pitt County,North Carolina,180742
"Polk County, North Carolina",Polk County,North Carolina,20724
"Randolph County, North Carolina",Randolph County,North Carolina,143667
"Richmond County, North Carolina",Richmond County,North Carolina,44829
"Robeson County, North Carolina",Robeson County,North Carolina,130625
"Rockingham County, North Carolina",Rockingham County,North Carolina,91010
"Rowan County, North Carolina",Rowan County,North Carolina,142088
"Rutherford County, North Carolina",Rutherford County,North Carolina,67029
"Sampson County, North Carolina",Sampson County,North Carolina,63531
"Scotland County, North Carolina",Scotland County,North Carolina,34823
"Stanly County, North Carolina",Stanly County,North Carolina,62806
"Stokes County, North Carolina",Stokes County,North Carolina,45591
"Surry County, North Carolina",Surry County,North Carolina,71783
"Swain County, North Carolina",Swain County,North Carolina,14271
"Transylvania County, North Carolina",Transylvania County,North Carolina,34385
"Tyrrell County, North Carolina",Tyrrell County,North Carolina,4016
"Union County, North Carolina",Union County,North Carolina,239859
"Vance County, North Carolina",Vance County,North Carolina,44535
"Wake County, North Carolina",Wake County,North Carolina,1111761
"Warren County, North Carolina",Warren County,North Carolina,19731
"Washington County, North Carolina",Washington County,North Carolina,11580
"Watauga County, North Carolina",Watauga County,North Carolina,56177
"Wayne County, North Carolina",Wayne County,North Carolina,123131
"Wilkes County, North Carolina",Wilkes County,North Carolina,68412
"Wilson County, North Carolina",Wilson County,North Carolina,81801
"Yadkin County, North Carolina",Yadkin County,North Carolina,37667
"Yancey County, North Carolina",Yancey County,North Carolina,18069
"Adams County, North Dakota",Adams County,North Dakota,2216
"Barnes County, North Dakota",Barnes County,North Dakota,10415
"Benson County, North Dakota",Benson County,North Dakota,6832
"Billings County, North Dakota",Billings County,North Dakota,928
"Bottineau County, North Dakota",Bottineau County,North Dakota,6282
"Bowman County, North Dakota",Bowman County,North Dakota,3024
"Burke County, North Dakota",Burke County,North Dakota,2115
"Burleigh County, North Dakota",Burleigh County,North Dakota,95626
"Cass County, North Dakota",Cass County,North Dakota,181923
"Cavalier County, North Dakota",Cavalier County,North Dakota,3762
"Dickey County, North Dakota",Dickey County,North Dakota,4872
"Divide County, North Dakota",Divide County,North Dakota,2264
"Dunn County, North Dakota",Dunn County,North Dakota,4424
"Eddy County, North Dakota",Eddy County,North Dakota,2287
"Emmons County, North Dakota",Emmons County,North Dakota,3241
"Foster County, North Dakota",Foster County,North Dakota,3210
"Golden Valley County, North Dakota",Golden Valley County,North Dakota,1761
"Grand Forks County, North Dakota",Grand Forks County,North Dakota,69451
"Grant County, North Dakota",Grant County,North Dakota,2274
"Griggs County, North Dakota",Griggs County,North Dakota,2231
"Hettinger County, North Dakota",Hettinger County,North Dakota,2499
"Kidder County, North Dakota",Kidder County,North Dakota,2480
"LaMoure County, North Dakota",LaMoure County,North Dakota,4046
"Logan County, North Dakota",Logan County,North Dakota,1850
"McHenry County, North Dakota",McHenry County,North Dakota,5745
"McIntosh County, North Dakota",McIntosh County,North Dakota,2497
"McKenzie County, North Dakota",McKenzie County,North Dakota,15024
"McLean County, North Dakota",McLean County,North Dakota,9450
"Mercer County, North Dakota",Mercer County,North Dakota,8187
"Morton County, North Dakota",Morton County,North Dakota,31364
"Mountrail County, North Dakota",Mountrail County,North Dakota,10545
"Nelson County, North Dakota",Nelson County,North Dakota,2879
"Oliver County, North Dakota",Oliver County,North Dakota,1959
"Pembina County, North Dakota",Pembina County,North Dakota,6801
"Pierce County, North Dakota",Pierce County,North Dakota,3975
"Ramsey County, North Dakota",Ramsey County,North Dakota,11519
"Ransom County, North Dakota",Ransom County,North Dakota,5218
"Renville County, North Dakota",Renville County,North Dakota,2327
"Richland County, North Dakota",Richland County,North Dakota,16177
"Rolette County, North Dakota",Rolette County,North Dakota,14176
"Sargent County, North Dakota",Sargent County,North Dakota,3898
"Sheridan County, North Dakota",Sheridan County,North Dakota,1315
"Sioux County, North Dakota",Sioux County,North Dakota,4230
"Slope County, North Dakota",Slope County,North Dakota,750
"Stark County, North Dakota",Stark County,North Dakota,31489
"Steele County, North Dakota",Steele County,North Dakota,1890
"Stutsman County, North Dakota",Stutsman County,North Dakota,20704
"Towner County, North Dakota",Towner County,North Dakota,2189
"Traill County, North Dakota",Traill County,North Dakota,8036
"Walsh County, North Dakota",Walsh County,North Dakota,10641
"Ward County, North Dakota",Ward County,North Dakota,67641
"Wells County, North Dakota",Wells County,North Dakota,3834
"Williams County, North Dakota",Williams County,North Dakota,37589
"Adams County, Ohio",Adams County,Ohio,27698
"Allen County, Ohio",Allen County,Ohio,102351
"Ashland County, Ohio",Ashland County,Ohio,53484
"Ashtabula County, Ohio",Ashtabula County,Ohio,97241
"Athens County, Ohio",Athens County,Ohio,65327
"Auglaize County, Ohio",Auglaize County,Ohio,45656
"Belmont County, Ohio",Belmont County,Ohio,67006
"Brown County, Ohio",Brown County,Ohio,43432
"Butler County, Ohio",Butler County,Ohio,383134
"Carroll County, Ohio",Carroll County,Ohio,26914
"Champaign County, Ohio",Champaign County,Ohio,38885
"Clark County, Ohio",Clark County,Ohio,134083
"Clermont County, Ohio",Clermont County,Ohio,206428
"Clinton County, Ohio",Clinton County,Ohio,41968
"Columbiana County, Ohio",Columbiana County,Ohio,101883
"Coshocton County, Ohio",Coshocton County,Ohio,36600
"Crawford County, Ohio",Crawford County,Ohio,41494
"Cuyahoga County, Ohio",Cuyahoga County,Ohio,1235072
"Darke County, Ohio",Darke County,Ohio,51113
"Defiance County, Ohio",Defiance County,Ohio,38087
"Delaware County, Ohio",Delaware County,Ohio,209177
"Erie County, Ohio",Erie County,Ohio,74266
"Fairfield County, Ohio",Fairfield County,Ohio,157574
"Fayette County, Ohio",Fayette County,Ohio,28525
"Franklin County, Ohio",Franklin County,Ohio,1316756
"Fulton County, Ohio",Fulton County,Ohio,42126
"Gallia County, Ohio",Gallia County,Ohio,29898
"Geauga County, Ohio",Geauga County,Ohio,93649
"Greene County, Ohio",Greene County,Ohio,168937
"Guernsey County, Ohio",Guernsey County,Ohio,38875
"Hamilton County, Ohio",Hamilton County,Ohio,817473
"Hancock County, Ohio",Hancock County,Ohio,75783
"Hardin County, Ohio",Hardin County,Ohio,31365
"Harrison County, Ohio",Harrison County,Ohio,15040
"Henry County, Ohio",Henry County,Ohio,27006
"Highland County, Ohio",Highland County,Ohio,43161
"Hocking County, Ohio",Hocking County,Ohio,28264
"Holmes County, Ohio",Holmes County,Ohio,43960
"Huron County, Ohio",Huron County,Ohio,58266
"Jackson County, Ohio",Jackson County,Ohio,32413
"Jefferson County, Ohio",Jefferson County,Ohio,65325
"Knox County, Ohio",Knox County,Ohio,62322
"Lake County, Ohio",Lake County,Ohio,230149
"Lawrence County, Ohio",Lawrence County,Ohio,59463
